
Description of Challenge,Source,JavaScript,Java
"The main idea is to count all the occuring characters(UTF-8) in string. If you have string like this aba then the result should be { 'a': 2, 'b': 1 } What if the string is empty ? Then the result should be empty object literal { }",https://mail.google.com/mail/u/0/#inbox/164a9ea22f25bd87,,
"found while attending The Iron Yard", https://www.youtube.com/watch?v=1DMolJ2FrNY&list=PL0zVEGEvSaeEd9hlmCXrk5yUyqUag-n84&index=4,,
"From a recruiter.", https://mail.google.com/mail/u/0/#search/from%3Ajhedrick%40apexsystems.com/FMfcgxvxBjQjThTSjgpCVmvmNXKwTnNw?projector=1&messagePartId=0.1,,
"Suggested from Josh - credit card validation luhn algorithm",,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
